image_id,source_image_path,filename,sha256,width,height,source_page,duplicate_of,setup_type,ticker,timeframe,base_quality,volume_notes,relative_strength_notes,buy_point_notes,failure_warnings,model_lesson,outcome_note,confidence,review_status
canslim-044,Chart Setups/Screenshot 2026-06-27 at 5.55.38 PM.png,Screenshot 2026-06-27 at 5.55.38 PM.png,9ea8c2e2116ddba3b2601d30e757d6c687f17b7e468dac5a07018238387efb17,3644,2370,55,,deep base; high-risk leader,Sea Containers,weekly,Annotated weekly model-book leader example with one or more constructive bases during a sustained advance.,Volume should be checked around the marked buy/add areas for confirmation.,Relative strength line generally confirms leadership during the advance.,"Use only the marked base breakout, pullback, or add-on area; avoid late entries after extension.","Several examples later mark climax or extended areas, so entry quality still requires sell-rule discipline.","Deep or volatile leaders require extra selectivity; the reward can be large, but the setup must still define risk.",Book chart notes a 4048% advance in 389 weeks.,medium,labeled_seed
canslim-045,Chart Setups/Screenshot 2026-06-27 at 5.55.55 PM.png,Screenshot 2026-06-27 at 5.55.55 PM.png,f66a698df163fca6f55414243c4e8226c87938c5557463da1074013279402774,3644,2370,56,,cup with handle; add-ons,FlightSafety International,weekly,Annotated weekly model-book leader example with one or more constructive bases during a sustained advance.,Volume should be checked around the marked buy/add areas for confirmation.,Relative strength line generally confirms leadership during the advance.,"Use only the marked base breakout, pullback, or add-on area; avoid late entries after extension.","Several examples later mark climax or extended areas, so entry quality still requires sell-rule discipline.",Quiet handles and 10-week support can help separate normal pullbacks from failed moves.,Book chart notes a 958% advance in 195 weeks.,medium,labeled_seed
canslim-046,Chart Setups/Screenshot 2026-06-27 at 5.55.58 PM.png,Screenshot 2026-06-27 at 5.55.58 PM.png,3e9804f732be6da15bceed9ec3e74fe588836573bdfa422ee32676dc63e857cc,3644,2370,57,,base breakout; add-on bases,Wang Laboratories,weekly,Annotated weekly model-book leader example with one or more constructive bases during a sustained advance.,Volume should be checked around the marked buy/add areas for confirmation.,Relative strength line generally confirms leadership during the advance.,"Use only the marked base breakout, pullback, or add-on area; avoid late entries after extension.","Several examples later mark climax or extended areas, so entry quality still requires sell-rule discipline.",A technology leader can run through several constructive consolidations when demand remains persistent.,Book chart notes a 1348% advance in 138 weeks.,medium,labeled_seed
canslim-047,Chart Setups/Screenshot 2026-06-27 at 5.56.01 PM.png,Screenshot 2026-06-27 at 5.56.01 PM.png,7871526472ec50688c7affc22edf9ab7fed09ace8bb75ba83bbce71a92d95d05,3644,2370,58,,speculative leader; climax top,Resorts International,weekly,Annotated weekly model-book leader example with one or more constructive bases during a sustained advance.,Volume should be checked around the marked buy/add areas for confirmation.,Relative strength line generally confirms leadership during the advance.,"Use only the marked base breakout, pullback, or add-on area; avoid late entries after extension.","Several examples later mark climax or extended areas, so entry quality still requires sell-rule discipline.","Speculative leaders can move extremely fast, so position management and climax-top recognition matter as much as entry.",Book chart notes a 6330% advance in 74 weeks.,medium,labeled_seed
canslim-048,Chart Setups/Screenshot 2026-06-27 at 5.56.27 PM.png,Screenshot 2026-06-27 at 5.56.27 PM.png,5b82a20f119cfb069d9aa8d72d1b169c483422e3d4211f1ceb7a55e3a49692fd,3644,2370,59,,base breakout; add-ons,Texas Oil & Gas,weekly,Annotated weekly model-book leader example with one or more constructive bases during a sustained advance.,Volume should be checked around the marked buy/add areas for confirmation.,Relative strength line generally confirms leadership during the advance.,"Use only the marked base breakout, pullback, or add-on area; avoid late entries after extension.","Several examples later mark climax or extended areas, so entry quality still requires sell-rule discipline.","Commodity-related leaders still need the same base, volume, and risk-location discipline.",Book chart notes a 529% advance in 101 weeks.,medium,labeled_seed
canslim-049,Chart Setups/Screenshot 2026-06-27 at 5.56.29 PM.png,Screenshot 2026-06-27 at 5.56.29 PM.png,c435effa317ca8546fc0a8bcddb2e3d463505eccc0f27caf6f356ac34a043952,3644,2370,60,,base breakout; add-ons,Global Marine,weekly,Annotated weekly model-book leader example with one or more constructive bases during a sustained advance.,Volume should be checked around the marked buy/add areas for confirmation.,Relative strength line generally confirms leadership during the advance.,"Use only the marked base breakout, pullback, or add-on area; avoid late entries after extension.","Several examples later mark climax or extended areas, so entry quality still requires sell-rule discipline.",An industry leader can build a series of add-on opportunities when group strength and price action align.,Book chart notes a 782% advance in 94 weeks.,medium,labeled_seed
canslim-050,Chart Setups/Screenshot 2026-06-27 at 5.56.32 PM.png,Screenshot 2026-06-27 at 5.56.32 PM.png,98d30065145ebeca41603e03465033d18ef5562925c48bf037d7e943f5f326ab,3644,2370,61,,base breakout; long leader run,Pic N Save,weekly,Annotated weekly model-book leader example with one or more constructive bases during a sustained advance.,Volume should be checked around the marked buy/add areas for confirmation.,Relative strength line generally confirms leadership during the advance.,"Use only the marked base breakout, pullback, or add-on area; avoid late entries after extension.","Several examples later mark climax or extended areas, so entry quality still requires sell-rule discipline.",Retail leaders can compound for years when bases remain orderly and sell signals are respected.,Book chart notes a 564% advance in 206 weeks.,medium,labeled_seed
canslim-051,Chart Setups/Screenshot 2026-06-27 at 5.56.34 PM.png,Screenshot 2026-06-27 at 5.56.34 PM.png,4e9df21a2ce6d18ba55af452e465fb008d80ffe40d0dfd7aad85bf2c9cb8897f,3644,2370,62,,base breakout; add-ons,Wal-Mart Stores,weekly,Annotated weekly model-book leader example with one or more constructive bases during a sustained advance.,Volume should be checked around the marked buy/add areas for confirmation.,Relative strength line generally confirms leadership during the advance.,"Use only the marked base breakout, pullback, or add-on area; avoid late entries after extension.","Several examples later mark climax or extended areas, so entry quality still requires sell-rule discipline.",Large retail winners often advance through repeated base breakouts and controlled pullbacks.,Book chart notes an 882% advance in 158 weeks.,medium,labeled_seed
canslim-052,Chart Setups/Screenshot 2026-06-27 at 5.56.37 PM.png,Screenshot 2026-06-27 at 5.56.37 PM.png,6d8329f55a06c8b5c0537a904f6d71644313333ce1476bfc2ff46cc647383cb2,3644,2370,63,,base breakout; high tight area,The Limited,weekly,Annotated weekly model-book leader example with one or more constructive bases during a sustained advance.,Volume should be checked around the marked buy/add areas for confirmation.,Relative strength line generally confirms leadership during the advance.,"Use only the marked base breakout, pullback, or add-on area; avoid late entries after extension.","Several examples later mark climax or extended areas, so entry quality still requires sell-rule discipline.","Strong retail leaders may form tight, powerful continuation areas after an initial breakout.",Book chart notes a 673% advance in 71 weeks.,medium,labeled_seed
canslim-053,Chart Setups/Screenshot 2026-06-27 at 5.56.45 PM.png,Screenshot 2026-06-27 at 5.56.45 PM.png,d8643627d98a9f8c50d65c5a8ce8b60a2f50dc07ca7de6fbdc0834ef809f9bf6,3644,2370,64,,IPO base; base breakout,Home Depot,weekly,Annotated weekly model-book leader example with one or more constructive bases during a sustained advance.,Volume should be checked around the marked buy/add areas for confirmation.,Relative strength line generally confirms leadership during the advance.,"Use only the marked base breakout, pullback, or add-on area; avoid late entries after extension.","Several examples later mark climax or extended areas, so entry quality still requires sell-rule discipline.",New public leaders can produce major moves from early bases when growth and demand are clear.,Book chart notes an 892% advance in 64 weeks.,medium,labeled_seed
canslim-054,Chart Setups/Screenshot 2026-06-27 at 5.56.48 PM.png,Screenshot 2026-06-27 at 5.56.48 PM.png,507f49db6f2f7afd8445e5f5081ae78a56663f2ad5b2c5cb6a57b4bd9de5cd17,3644,2370,65,,base breakout; add-on bases,Price Co.,weekly,Annotated weekly model-book leader example with one or more constructive bases during a sustained advance.,Volume should be checked around the marked buy/add areas for confirmation.,Relative strength line generally confirms leadership during the advance.,"Use only the marked base breakout, pullback, or add-on area; avoid late entries after extension.","Several examples later mark climax or extended areas, so entry quality still requires sell-rule discipline.","A leader can offer several entries during an advance, but each must be judged against base quality and extension.",Book chart notes a 417% advance in 60 weeks.,medium,labeled_seed
canslim-055,Chart Setups/Screenshot 2026-06-27 at 5.56.52 PM.png,Screenshot 2026-06-27 at 5.56.52 PM.png,d94d1d1c50576a3600b02fb028f347717f291317d7ee79741965d4210205529a,3644,2370,66,,base breakout; 10-week add-ons,Stop & Shop,weekly,Annotated weekly model-book leader example with one or more constructive bases during a sustained advance.,Volume should be checked around the marked buy/add areas for confirmation.,Relative strength line generally confirms leadership during the advance.,"Use only the marked base breakout, pullback, or add-on area; avoid late entries after extension.","Several examples later mark climax or extended areas, so entry quality still requires sell-rule discipline.",Pullbacks to rising moving averages can be usable only when the broader setup remains intact.,Book chart notes a 536% advance in 74 weeks.,medium,labeled_seed
canslim-056,Chart Setups/Screenshot 2026-06-27 at 5.56.55 PM.png,Screenshot 2026-06-27 at 5.56.55 PM.png,c08227226c49393e7ca16f648613ef3774bdc8794c1b23e94e8e2ed0a26a354e,3644,2370,67,,base breakout; fast leader,Digital Switch,weekly,Annotated weekly model-book leader example with one or more constructive bases during a sustained advance.,Volume should be checked around the marked buy/add areas for confirmation.,Relative strength line generally confirms leadership during the advance.,"Use only the marked base breakout, pullback, or add-on area; avoid late entries after extension.","Several examples later mark climax or extended areas, so entry quality still requires sell-rule discipline.",Fast leaders demand early entry and clear sell rules because later entry points become extended quickly.,Book chart notes an 843% advance in 46 weeks.,medium,labeled_seed
canslim-057,Chart Setups/Screenshot 2026-06-27 at 5.56.58 PM.png,Screenshot 2026-06-27 at 5.56.58 PM.png,ec204e8daa17fab6370f9fa9ab9a960bc8347eb0aa4beeddb3408ca44688c1b0,3644,2370,68,,cup with handle; base breakout,Pulte Home,weekly,Annotated weekly model-book leader example with one or more constructive bases during a sustained advance.,Volume should be checked around the marked buy/add areas for confirmation.,Relative strength line generally confirms leadership during the advance.,"Use only the marked base breakout, pullback, or add-on area; avoid late entries after extension.","Several examples later mark climax or extended areas, so entry quality still requires sell-rule discipline.",A cyclical leader can be actionable when the base is proper and breakout demand is visible.,Book chart notes a 733% advance in 47 weeks.,medium,labeled_seed
canslim-058,Chart Setups/Screenshot 2026-06-27 at 5.57.04 PM.png,Screenshot 2026-06-27 at 5.57.04 PM.png,246a35f18ef8a8e311e6ad8d44a579b33dd376ce1ab169e7ffe154a7879b6a3d,3644,2370,69,,base breakout; add-on entries,Liz Claiborne,weekly,Annotated weekly model-book leader example with one or more constructive bases during a sustained advance.,Volume should be checked around the marked buy/add areas for confirmation.,Relative strength line generally confirms leadership during the advance.,"Use only the marked base breakout, pullback, or add-on area; avoid late entries after extension.","Several examples later mark climax or extended areas, so entry quality still requires sell-rule discipline.",Even shorter leader moves can be useful models when the entry and risk point are clean.,Book chart notes a 211% advance in 43 weeks.,medium,labeled_seed
canslim-059,Chart Setups/Screenshot 2026-06-27 at 5.57.06 PM.png,Screenshot 2026-06-27 at 5.57.06 PM.png,1e9ef47d2cb35ca25089730c3b92448ba9945f0918f1f346be134f92db54ee4e,3644,2370,70,,base breakout; add-ons,Franklin Resources,weekly,Annotated weekly model-book leader example with one or more constructive bases during a sustained advance.,Volume should be checked around the marked buy/add areas for confirmation.,Relative strength line generally confirms leadership during the advance.,"Use only the marked base breakout, pullback, or add-on area; avoid late entries after extension.","Several examples later mark climax or extended areas, so entry quality still requires sell-rule discipline.",Financial leaders can run strongly when earnings acceleration and base breakouts align.,Book chart notes an 811% advance in 78 weeks.,medium,labeled_seed
canslim-060,Chart Setups/Screenshot 2026-06-27 at 5.57.19 PM.png,Screenshot 2026-06-27 at 5.57.19 PM.png,fb404b3559576c16a5247433f7edd74865e747a2f3e9d9731f67a508730c9849,3644,2370,71,,IPO/base breakout; fast leader,Microsoft,weekly,Early Microsoft leader example with a base breakout and rapid advance.,Volume should be checked around the marked buy/add areas for confirmation.,Relative strength line generally confirms leadership during the advance.,"Use only the marked base breakout, pullback, or add-on area; avoid late entries after extension.","Several examples later mark climax or extended areas, so entry quality still requires sell-rule discipline.",Early entries in exceptional growth leaders can matter more than waiting for obvious consensus.,Book chart notes a 272% advance in 30 weeks.,medium,labeled_seed
canslim-061,Chart Setups/Screenshot 2026-06-27 at 5.57.22 PM.png,Screenshot 2026-06-27 at 5.57.22 PM.png,79ef654c882f4516500db6063b715af7d7dc8966134eb7e1adb2d7f1ba6d9f56,3644,2370,72,,IPO/base breakout; fast leader,Adobe Systems,weekly,Annotated weekly model-book leader example with one or more constructive bases during a sustained advance.,Volume should be checked around the marked buy/add areas for confirmation.,Relative strength line generally confirms leadership during the advance.,"Use only the marked base breakout, pullback, or add-on area; avoid late entries after extension.","Several examples later mark climax or extended areas, so entry quality still requires sell-rule discipline.",Young software leaders can advance quickly after proper early bases; late entries carry higher risk.,Book chart notes a 307% advance in 23 weeks.,medium,labeled_seed
canslim-062,Chart Setups/Screenshot 2026-06-27 at 5.57.25 PM.png,Screenshot 2026-06-27 at 5.57.25 PM.png,b7eb417b142ae8441df59945d54e45b40bfc8cb7bcaaf1989a857386425374d1,3644,2370,73,,base breakout; long leader run,Costco Wholesale,weekly,Annotated weekly model-book leader example with one or more constructive bases during a sustained advance.,Volume should be checked around the marked buy/add areas for confirmation.,Relative strength line generally confirms leadership during the advance.,"Use only the marked base breakout, pullback, or add-on area; avoid late entries after extension.","Several examples later mark climax or extended areas, so entry quality still requires sell-rule discipline.",High-quality retail leaders can build many add-on areas if the long-term trend remains intact.,Book chart notes a 712% advance in 163 weeks.,medium,labeled_seed
canslim-063,Chart Setups/Screenshot 2026-06-27 at 5.57.36 PM.png,Screenshot 2026-06-27 at 5.57.36 PM.png,88b59295a044eba285d4adce70ec709355a9441c532555eefc63a773ecedf37f,3644,2370,74,,long base; add-on entries,Microsoft,weekly,Annotated weekly model-book leader example with one or more constructive bases during a sustained advance.,Volume should be checked around the marked buy/add areas for confirmation.,Relative strength line generally confirms leadership during the advance.,"Use only the marked base breakout, pullback, or add-on area; avoid late entries after extension.","Several examples later mark climax or extended areas, so entry quality still requires sell-rule discipline.",A proven leader can build a second major run from later bases when growth and relative strength persist.,Book chart notes a 571% advance in 121 weeks.,medium,labeled_seed
canslim-064,Chart Setups/Screenshot 2026-06-27 at 5.57.39 PM.png,Screenshot 2026-06-27 at 5.57.39 PM.png,56edb20a7fc64b8b622fd6b5dd9d5fff50a47ea56fc03ec277390e1a83671359,3644,2370,75,,base breakout; add-ons,American Power Conversion,weekly,Annotated weekly model-book leader example with one or more constructive bases during a sustained advance.,Volume should be checked around the marked buy/add areas for confirmation.,Relative strength line generally confirms leadership during the advance.,"Use only the marked base breakout, pullback, or add-on area; avoid late entries after extension.","Several examples later mark climax or extended areas, so entry quality still requires sell-rule discipline.",Strong leaders often retest or pause near moving averages; add only when structure and demand remain favorable.,Book chart notes a 745% advance in 96 weeks.,medium,labeled_seed
canslim-065,Chart Setups/Screenshot 2026-06-27 at 5.57.42 PM.png,Screenshot 2026-06-27 at 5.57.42 PM.png,2757ceaf12d8cdd7624f9bb44017aae7317d2f242b3a109a69f4c2a193c20a91,3644,2370,76,,base breakout; add-ons,Amgen,weekly,Annotated weekly model-book leader example with one or more constructive bases during a sustained advance.,Volume should be checked around the marked buy/add areas for confirmation.,Relative strength line generally confirms leadership during the advance.,"Use only the marked base breakout, pullback, or add-on area; avoid late entries after extension.","Several examples later mark climax or extended areas, so entry quality still requires sell-rule discipline.","Biotech leaders can trend powerfully, but bases and pullbacks must be judged with extra attention to volatility.",Book chart notes a 681% advance in 96 weeks.,medium,labeled_seed
canslim-066,Chart Setups/Screenshot 2026-06-27 at 5.57.44 PM.png,Screenshot 2026-06-27 at 5.57.44 PM.png,30aeea267210c16912f0cd7d26a874438652def8b9932a7f073c0d95a3efcca5,3644,2370,77,,base breakout; add-ons,United States Surgical,weekly,Annotated weekly model-book leader example with one or more constructive bases during a sustained advance.,Volume should be checked around the marked buy/add areas for confirmation.,Relative strength line generally confirms leadership during the advance.,"Use only the marked base breakout, pullback, or add-on area; avoid late entries after extension.","Several examples later mark climax or extended areas, so entry quality still requires sell-rule discipline.",Healthcare leaders can build multiple bases; the best entries keep risk close to the pivot or 10-week line.,Book chart notes a 786% advance in 93 weeks.,medium,labeled_seed
canslim-067,Chart Setups/Screenshot 2026-06-27 at 5.57.56 PM.png,Screenshot 2026-06-27 at 5.57.56 PM.png,6a84bb8b1b35e5ae98aef99daf65c07f0d63f1dfbca2e3558ec58aff23f2bd8b,3644,2370,80,,base breakout; 3-weeks-tight,JLG Industries,weekly,Annotated weekly model-book leader example with one or more constructive bases during a sustained advance.,Volume should be checked around the marked buy/add areas for confirmation.,Relative strength line generally confirms leadership during the advance.,"Use only the marked base breakout, pullback, or add-on area; avoid late entries after extension.","Several examples later mark climax or extended areas, so entry quality still requires sell-rule discipline.",Tight price areas during an uptrend can become add-on points when supported by volume and trend.,Book chart notes a 670% advance in 53 weeks.,medium,labeled_seed
canslim-068,Chart Setups/Screenshot 2026-06-27 at 5.58.09 PM.png,Screenshot 2026-06-27 at 5.58.09 PM.png,a22a4e6993ea882957a03ca092ab687cabdee501ff0a5c6235b3f0699783c190,3644,2370,81,,base breakout; late-stage sell area,Charles Schwab,weekly,Annotated weekly model-book leader example with one or more constructive bases during a sustained advance.,Volume should be checked around the marked buy/add areas for confirmation.,Relative strength line generally confirms leadership during the advance.,"Use only the marked base breakout, pullback, or add-on area; avoid late entries after extension.","Several examples later mark climax or extended areas, so entry quality still requires sell-rule discipline.","Powerful financial leaders can move fast, making late-stage extension and sell-rule discipline critical.",Book chart notes a 408% advance in 26 weeks.,medium,labeled_seed
canslim-069,Chart Setups/Screenshot 2026-06-27 at 5.58.16 PM.png,Screenshot 2026-06-27 at 5.58.16 PM.png,7d932ff5f3489e41abb764fab66a761586f29366e50fa477f07c5e4eeb3c0618,3644,2370,82,,base breakout; fast internet leader,America Online,weekly,Annotated weekly model-book leader example with one or more constructive bases during a sustained advance.,Volume should be checked around the marked buy/add areas for confirmation.,Relative strength line generally confirms leadership during the advance.,"Use only the marked base breakout, pullback, or add-on area; avoid late entries after extension.","Several examples later mark climax or extended areas, so entry quality still requires sell-rule discipline.","Hyper-growth leaders can accelerate quickly from proper bases, but late entries after vertical moves are dangerous.",Book chart notes a 456% advance in 23 weeks.,medium,labeled_seed
canslim-070,Chart Setups/Screenshot 2026-06-27 at 5.58.27 PM.png,Screenshot 2026-06-27 at 5.58.27 PM.png,3ad643448f7d12183ffd0673b95867a0ec0fb2d798b591959aedaf0acca4bba6,3644,2370,90,,cup with handle; add-on bases,Southwestern Energy,weekly,Annotated weekly model-book leader example with one or more constructive bases during a sustained advance.,Volume should be checked around the marked buy/add areas for confirmation.,Relative strength line generally confirms leadership during the advance.,"Use only the marked base breakout, pullback, or add-on area; avoid late entries after extension.","Several examples later mark climax or extended areas, so entry quality still requires sell-rule discipline.","Energy leaders can offer proper bases and add-on points when price, volume, and group strength align.",Book chart notes a 565% advance in 83 weeks.,medium,labeled_seed
canslim-071,Chart Setups/Screenshot 2026-06-27 at 5.58.50 PM.png,Screenshot 2026-06-27 at 5.58.50 PM.png,3b78b86897d1fc44a35514869c96ca273ad728a02624cd4c0ee880854d98d6e1,3644,2370,105,,base breakout; tight action,Precision Castparts,weekly,Annotated weekly model-book leader example with one or more constructive bases during a sustained advance.,Volume should be checked around the marked buy/add areas for confirmation.,Relative strength line generally confirms leadership during the advance.,"Use only the marked base breakout, pullback, or add-on area; avoid late entries after extension.","Several examples later mark climax or extended areas, so entry quality still requires sell-rule discipline.",A more orderly leader can still be valuable when entries are taken from clean bases and tight support areas.,Book chart notes a 259% advance in 115 weeks.,medium,labeled_seed
canslim-072,Chart Setups/Screenshot 2026-06-27 at 5.58.53 PM.png,Screenshot 2026-06-27 at 5.58.53 PM.png,fcd01d385748e3818d4f740f7d541b5d25ee044a64a672619fd6b2fa0ef9f326,3644,2370,106,,IPO/base breakout; add-ons,Intuitive Surgical,weekly,Annotated weekly model-book leader example with one or more constructive bases during a sustained advance.,Volume should be checked around the marked buy/add areas for confirmation.,Relative strength line generally confirms leadership during the advance.,"Use only the marked base breakout, pullback, or add-on area; avoid late entries after extension.","Several examples later mark climax or extended areas, so entry quality still requires sell-rule discipline.",Innovative growth leaders can form early bases and later continuation setups; each add should be tied to structure.,Book chart notes a 418% advance in 123 weeks.,medium,labeled_seed
canslim-073,Chart Setups/Screenshot 2026-06-27 at 5.58.56 PM.png,Screenshot 2026-06-27 at 5.58.56 PM.png,ef74d1119515718583ed882a1039c10f38c519529cdbb6a8b5292a836e507a9e,3644,2370,108,,IPO/base breakout; climax sell area,First Solar,weekly,Annotated weekly model-book leader example with one or more constructive bases during a sustained advance.,Volume should be checked around the marked buy/add areas for confirmation.,Relative strength line generally confirms leadership during the advance.,"Use only the marked base breakout, pullback, or add-on area; avoid late entries after extension.","Several examples later mark climax or extended areas, so entry quality still requires sell-rule discipline.","A spectacular leader can still require strict entry and sell discipline, especially after a steep late-stage run.",Book chart notes an 807% advance in 47 weeks.,medium,labeled_seed
